umolghr	pH	Location	Coral	Jar
-0.60604153	L	HU	4	1
-0.28704413	L	HU	1	1
-0.29993385	L	HU	3	3
-0.23282134	L	HU	2	3
-0.39867812	L	HU	2	2
-0.54777424	L	HU	3	2
-0.91420702	L	HU	2	1
-0.28082292	L	HU	1	2
-0.47488153	L	HU	1	3
-1.91027068	H	HU	1	1
-2.35764257	H	HU	2	1
-0.43073652	H	HU	1	2
-0.28561805	H	HU	2	2
-0.47168118	H	HU	1	3
-0.4420282	H	HU	2	3
-0.2691089	H	HU	3	1
-0.37477169	H	HU	3	2
-0.34533452	H	HU	3	3
-0.19268129	L	LU	1	1
-0.17982958	L	LU	2	1
-0.17344783	L	LU	1	2
-0.00968161	L	LU	3	2
-0.74972206	L	LU	2	3
-0.1559528	L	LU	1	3
-0.29510574	L	LU	3	1
-0.33331456	L	LU	4	2
-0.06277166	L	LU	3	3
-0.10450516	H	LU	4	1
-0.04109142	H	LU	3	1
-0.50156186	H	LU	2	2
-0.54407387	H	LU	4	2
-0.61072644	H	LU	1	3
-0.42891611	H	LU	3	3
-0.18717948	H	LU	1	1
-0.33439329	H	LU	3	2
-0.28900688	H	LU	4	3
