Coral	Jar	pH	Location	waxester	triacylglycerol	fattyacid	sterol	phospholipid	lipid	protein	Dry_weight	
4	1	L	HU	48	47	25	15	95	135	302	159	
3	3	L	HU	51	40	39	15	167	145	237	72	
2	3	L	HU	97	85	48	15	134	245	270	134	
2	2	L	HU	108	70	112	34	325	324	962	185	
3	2	L	HU	19	11	33	14	83	77	507	79	 
2	1	L	HU	16	8	12	2	106	38	140	25	
1	2	L	HU	25	12	59	15	169	111	150	168	
1	3	L	HU	22	21	52	8	107	103	182	143	
1	1	H	HU	304	46	30	14	254	394	207	278	
2	1	H	HU	34	13	27	10	103	84	133	130	
1	2	H	HU	160	80	80	10	238	330	119	125	
2	2	H	HU	192	129	45	13	158	379	283	130	
1	3	H	HU	10	3	5	9	45	27	53	155	
2	3	H	HU	32	8	60	15	155	115	373	130	
3	1	H	HU	7	117	56	26	132	206	443	239	
3	2	H	HU	59	39	33	7	184	138	450	227	
3	3	H	HU	3	33	33	11	91	80	320	153	
1	1	L	LU	5	0	0	13	53	18	210	192	
2	1	L	LU	0	9	16	7	132	32	114	89	
1	2	L	LU	31	0	5	7	100	43	16	94	
3	2	L	LU	6	4	13	6	16	29	376	111	
2	3	L	LU	11	12	37	20	54	80	297	62	
3	1	L	LU	7	23	23	0	362	53	101	105	
3	3	L	LU	0	11	23	19	128	53	117	285	
4	1	H	LU	15	9	32	10	388	66	142	177	
3	1	H	LU	34	8	26	2	178	70	394	54	
2	2	H	LU	20	13	20	8	97	61	165	44	
4	2	H	LU	9	4	14	12	102	39	176	141	
1	3	H	LU	0	0	44	18	224	62	54	92	
3	3	H	LU	4	5	38	18	112	65	300	125	
1	1	H	LU	24	20	43	21	142	108	126	312	
3	2	H	LU	2	10	40	23	183	75	291	134	
4	3	H	LU	8	10	14	13	79	45	149	208	
2	2	L	LU	15	5	7	4	152	31	8	154	
1	2	H	LU	16	11	22	23	332	72	365	103	
4	1	L	LU	6	2	20	3	170	31	82	98	
												
